Record ID,Record Title,Video URL,Video Creation Date,Video Length,MetaData (keywords),Recomendation Grouping,Primary?,Video Info,MCQ #1,Q1 Correct Answer,Q1 Distracter A,Q1 Distracter B,Q1 Distracter C,Q1 Distracter D,MCQ#2,Q2 Correct Answer,Q2 Distracter A,Q2 Distracter B,Q2 Distracter C,Q2 Distracter D,MCQ#3,Q3 Correct Answer,Q3 Distracter A,Q3 Distracter B,Q3 Distracter C,Q3 Distracter D,MCQ#4,Q4 Correct Answer,Q4 Distracter A,Q4 Distracter B,Q4 Distracter C,Q4 Distracter D,MCQ#5,Q5 Correct Answer,Q5 Distracter A,Q5 Distracter B,Q5 Distracter C,Q5 Distracter D,Custom Target
1,Apple Has First Earning Decline in More Than a Decade,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ATM_4_27_16_AppleHasFirstEarningsDeclineinMoreThanaDecade,2016 May,0:23,"Product life cycle; Kotler, Marketing Principles, 16th Edition; Keller, Marketing Management, 15th Edition; Armstrong, Marketing: An Introduction, 13th Edition; Solomon, Marketing: Real People, Real Choices, 8th Edition 
","Kotler_MarketingAnIntroduction_14e_Ch1; 
Robbins_FundamentalsOfManagement_10e_Ch3","Y(Kotler_MarketingAnIntroduction_14e_Ch1)
N(Robbins_FundamentalsOfManagement_10e_Ch3)","After watching the video, answer the following multiple choice questions.",The recent decrease in iPhone sales most likely indicates that the company's products are in the ______ stage of the product life cycle.,decline,growth,introduction,maturity,,"______ is the most likely reason that iPhone sales decreased during the previous quarter, and why Apple will be launching its newest iPhone soon.",Technological advances,Uninterested customers,A shift in consumer taste,Increased competition,,"During the time the iPhone brought in high profits and sales peaked, it was most likely in the _______ stage of the product life cycle.",maturity,introduction,growth,decline,,The first customers to purchase the original iPhone as soon as it hit the market are most likely classified as which type of adopters?,Innovators,Lagging adopters,Early adopters,Mainstream adopters,,"As sales decline for the current iPhone, which is the most likely course of action for Apple regarding pricing of the iPhone?",Apple will cut prices.,Apple will use cost-plus pricing.,Apple with match or beat competitor prices.,Apple will use penetration pricing.,,custom_target_1
2,How Does Barbara Corcoran Pick Her Investments on Shark Tank?,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_3_24_16_HowDoesBarbaraCorcoranPickHerInvestmentsonSharkTank,2016 March,1:52,"Nonverbal; Poise; Posture; Delivery; Interviewing. Gender bias; Cultural bias; Cultural variations; Cultural differences; Bias-free language; Connotative; Abstractions; Plain language; Shark Tank; Barbara Corcoran; Bovee; Thill; Excellence in Business Communication; Business Communication Today; Business Communication Essentials; Shwom; Snyder; Business Communication

","Kotler_MarketingAnIntroduction_14e_Ch1; 
Robbins_FundamentalsOfManagement_10e_Ch3","N(Kotler_MarketingAnIntroduction_14e_Ch1)
Y(Robbins_FundamentalsOfManagement_10e_Ch3)","1.Watch the following video about the communication factors that sway a venture capitalist's investment decisions and how she overcomes speaker's anxiety. 

2.Answer the multiple choice questions that appear after the video.","In the first moments of Shark Tank, entrepreneurs arrive on the stage. Barbara Corcoran says that their body language shows that they are eager to make a pitch. Which of the following nonverbal cues convey that message?","They walk in confidently, make great eye contact, and stand erect and poised.",They walk hesitantly toward the spotlight and squint in the bright lights.,They saunter onto the stage with their hands in their pockets.,They move to the center of the stage and stand with pained expression on their faces.,They walk onto the stage and study their notes.,"The entrepreneurs are told to be silent until they are spoken to. During the long silence, Barbara Corcoran says she learns who can handle pressure. How?","She watches the nonverbal cues, looking for deflated body posture, fidgeting, and loss of poise.",She finds out who can follow directions.,She discovers whether the candidates can use their time wisely.,She assesses whether the candidates have good manners.,She counts how many times the candidates blink.,"Consider the choice of words in the statement, If you want to get in bed with a great entrepreneur, he better be good under pressure.What are the communication implications of this choice of words?    ",All of the answer choices are true.,All of the answer choices are true.,The statement has inappropriate sexual overtones.,The connotative meaning could be unclear to those not familiar with the slang use of the phrases,"The word choice illustrates why concrete, plain words are more professional.","Barbara Corcoran admits to feeling insecure and anxious during public performances, including appearances on Shark Tank. What technique does she recommend to overcome the fear of public speaking?",Boost your confidence with affirming statements.,Wait for the anxiety to pass before beginning.,Speak in a lower octave.,Jog quickly before presenting.,Remind yourself of embarrassing and unskillful presentations.,"Barbara Corcoran says that when she is hesitant to speak in a high-pressure situation, she says to herself, What would a man do? And I do it. I raise my hand. I demand what I want.This illustrates what aspect of gender influences in workplace communication?",Men and women tend to have different communication styles.,Women tend to emphasize content and outcomes in their communication efforts.,Men tend to place a higher premium on relationships.,Men and women view assertiveness as a negative quality in men and a positive quality in women.,Gender plays a minor role in workplace communication.,custom_target_2
3,World Leaders Address Counterterrorism at Summit,"https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_3_31_16_World_Leaders_Address_Counterterrorism_at_Nuclear_Summit
",2016 March,7:16,Global Nuclear Security; Counterterrorism; Cross-National Cooperation; World Nuclear Powers; USA; President Obama; Russia; ISIS; Cyber Security; International Business: Environments & Operations; Daniels; International Business: The Challenges of Globalization; Wild; Business: A Managerial Perspective; Griffin; International Business: The New Realities; Cavusgil,Kotler_MarketingAnIntroduction_14e_Ch1,"Y(Kotler_MarketingAnIntroduction_14e_Ch1)
N(Robbins_FundamentalsOfManagement_10e_Ch3)","1. Watch the following video, which shows an ABC report on how President Obama is hosting a summit for world leaders on counterterrorism and nuclear weapons.
2. Answer the multiple choice questions that appear after the video.
",How many world leaders will be attending President Obama's summit?,36,110,94,57,25,The main focus of this summit is to keep nuclear weapons out of whose hands?,Terrorist groups like ISIS,Right-wing activists in Switzerland,Guerrilla groups in Indonesia,Religious fanatics in Thailand,Unstable dictators in Latin America,The video highlights that this summit is more pressing because of which recent international incident?,The bombings in Brussels,The downing of a Russian plane by Turkey,The Paris attacks in 2015,The sinking of a Japanese fishing vessel by North Korea,The derailment of a train carrying nuclear waste across Montana,A significant global player who decided to boycott this summit was,Russia,Japan,France,India,China,Getting a commitment from the leaders in this summit is very important to President Obama right now because ______.,it is the last summit of this type before he leaves office,most of the world leaders are getting pretty old,the United Nations is about to change the rules for these types of summits,democratic governments are being replaced by totalitarian ones,the nuclear stockpiles are suddenly becoming very unstable,custom_target_3
4,"High Fashion, Deadly Factories",https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Nightline_3_21_12_HighFashionDeadlyFactories,2016 March,5:15,"Negative messages; Crisis communication; Crisis management; Buffer;
Common ground;Responding to negative messages; Abstract;
Connotative; Media questions; Apologies;Tommy Hilfiger;
Bangladesh; Factories; Bovee; Thill; Excellence in Business Communication;
Business Communication Today; Business Communication Essentials;
Shwom; Snyder; Business Communication
",,,"1.        Watch the following news report about an investigation into high fashion clothing factories. Be advised that the report includes vivid scenes of a deadly fire. Consider the communication challenges companies face when confronted with negative news. 

2.        Answer the multiple choice questions that appear after the video.
",The newscaster's lead-in to Brian Ross's report states that it may well leave you heartbroken and outraged.This wording employs which aspect(s) of language?,"Strong, familiar words",Passive voice,A logical appeal,Bias-free language,Use of euphemisms,"Tommy Hilfiger told ABC News that his Bangladesh factories meet the gold standard,despite a deadly fire. Then, his staff ordered the news crew off the property. When a company faces negative news, how should it respond?",All of the answer choices are correct.,Be prepared for trouble ahead of time.,Do not refuse to answer questions.,Have a crisis management plan.,Disseminate correct and consistent information.,"Tommy Hilfiger said his company had pulled out of Bangladesh, saying, We will never manufacture clothes in those factories ever again.When the statement proved false, what would communications specialists recommend as the next step?",Assume full responsibility for the miscommunication.,Speculate about the media's intentions.,Blame the miscommunication on subordinates.,Publicize company safeguards to prevent problems.,Avoid interviews in hopes the publicity will die down.,"Some experts advise that a company should never apologize, even when it knows it has made a mistake. What is the main concern?",The apology might be taken as a confession of guilt that could be used against the company in a lawsuit.,Apologies play no strategic role in running a business.,"The apology might make the executive appear weak, which could be a disadvantage in future negotiations.","The apology could reinforce the negative situation, damaging the company's reputation.",Apologies could hurt the company's relationships with its stakeholders.,"Hilfiger and its parent company announced a $2 million plan for an independent fire inspector in Bangladesh to enforce new, strict regulations. Which principle of crisis communication does this action best illustrate?",Demonstrate the company's concern.,Tell the story completely and honestly.,Provide a buffer to the bad news.,Put the blame on others.,Establish common ground with the public.,custom_target_4
5,Historic Climate Deal Reached,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_12_12_15_HistoricClimateDealReached,2015 December,2:07,"Globalization and Society; Political Environment;
Global Warming; President Obama; Sustainability;
Environmental Impacts; Social Responsibility;
Global Agreements; Saving the Planet;
International Business: Environments & Operations;
Daniels International Business: The Challenges of Globalization;
Wild International Business: A Managerial Perspective;
Griffin International Business: The New Realities;
Cavusgil
",,,"1.        Watch the following video, which captures the signing of the most impactful global agreement on climate change ever signed.
2.        Answer the multiple choice questions that appear after the video.
",The societal issue that this agreement addresses is specifically related to,global warming,international piracy,the safety of pharmaceutical products,energy use reduction,trade-related IP protection,This agreement is significant because of the number of countries that signed it. How many were there in total?,195-196,155-156,175-176,185-186,205,"As part of the agreement, each country is required to _______.",submit an emissions plan,pay a lump sum amount to the World Bank,reduce their use of electricity by 15%,elect an energy czar to oversee their nation's efforts,close down a certain number of manufacturing facilities,Critics of the deal were upset because they claimed that the agreement ________.,does not go far enough,does not apply to China and India,"goes into effect in 2017, which is too soon",will be voted down in the U.S. Congress,has goals that cannot really be achieved,One indicator of how difficult it is for countries to reach agreements such as these is the time it takes to negotiate them. The time it took to reach this agreement was ______.,20 Years,50 years,40 years,30 years,10 Years,custom_target_5
6,Markets Abroad Rally on Tentative Debt Deal,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-ABC_News-8-1-11_ANNMM_MarketsRally,2011 August,7:49,Griffin; International Business: The New Realities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_6
7,Netflix Investors Bolt with Subscribers,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2011-10-26-11_GMA_Netflix,2011 October,2:01,Strategic Management; Wheelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_7
8,Corporate Acquisitions and Multinational Corporations - SCOTUS Puts the Brakes on Chrysler Sale,https://mediaplayer.pearsoncmg.com/assets/2013-business_law-BLaw2013_Corp_Acq,2009 June,2:20,Strategic Management; Barney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_8
9,First Flavor,https://mediaplayer.pearsoncmg.com/assets/ 2013-mktg-FirstFlavor,2011,6:42,Marketing; Kotler; Principles of Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_9
10,Honest Tea: Corporate Social Responsibility,https://mediaplayer.pearsoncmg.com/assets/MGMT-OB-2013-OBPOM2012_HonestTea_CSR,2011,6:45,Marketing; Bovee; Business in Action; Certo; Marketing Management; Keegan; General Marketing; Kotler; Principles of Marketing; Mondy; Martocchio; Human Resource Management; McKee; Management; Robbins; Foundations of Management; Robbins; Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_10
